PPARA_2; CpG Island 27
VDR_4; CpG Island 27
VDR_6; CpG Island 27
NR2F6_1; CpG Island 27
HNF4_known12; CpG Island 27
RHOXF1_2; CpG Island 27
SMC3_disc4; CpG Island 27
MYOD1_3; CpG Island 27
MYF6_1; CpG Island 27
TCF3_2; CpG Island 27
SNAI2_1; CpG Island 27
MESP1_1; CpG Island 27
TCF3_7; CpG Island 27
TCF4_2; CpG Island 27
FOXD1_2; CpG Island 27
NR1H4_2; CpG Island 27
PDX1_1; CpG Island 27
NR3C1_known13; CpG Island 27
NR3C1_known4; CpG Island 27
VDR_2; CpG Island 27
ZNF410_1; CpG Island 27
NR3C1_known11; CpG Island 27
RAD21_disc8; CpG Island 27
SRF_disc2; CpG Island 27
GATA_disc6; CpG Island 27
HDAC2_disc6; CpG Island 27
MEF2_known10; CpG Island 27
BDP1_disc3; CpG Island 28
RBPJ_1; CpG Island 28
TP73_1; CpG Island 28
SIX5_known1; CpG Island 28
SPZ1_2; CpG Island 28
NR6A1_1; CpG Island 28
RXRA_known6; CpG Island 28
PAX6_2; CpG Island 28
ESRRB_1; CpG Island 28
ESRRA_disc2; CpG Island 28
HNF4_disc3; CpG Island 28
NR5A2_1; CpG Island 28
NR5A1_2; CpG Island 28
RXRA_disc1; CpG Island 28
NR1H4_1; CpG Island 28
NR5A1_1; CpG Island 28
REST_known3; CpG Island 28
PPARA_1; CpG Island 28
SOX10_4; CpG Island 28
SOX7_2; CpG Island 28
SOX7_2; CpG Island 28
SOX8_2; CpG Island 28
SRY_6; CpG Island 28
ESRRA_known3; CpG Island 33
CPHX_1; CpG Island 33
REST_known2; CpG Island 33
TATA_disc7; CpG Island 33
EGR1_known3; CpG Island 33
MAF_known1; CpG Island 33
NKX2-2_2; CpG Island 33
NKX3-1_3; CpG Island 33
NKX2-4_1; CpG Island 33
NKX2-5_5; CpG Island 33
NKX2-6_1; CpG Island 33
NKX2-1_3; CpG Island 33
NKX2-3_2; CpG Island 33
NKX3-2_1; CpG Island 33
HMGA1_2; CpG Island 33
POU6F2_2; CpG Island 33
POU6F2_2; CpG Island 33
AP1_disc8; CpG Island 33
CTCF_disc8; CpG Island 33
RAD21_disc1; CpG Island 33
CTCF_disc5; CpG Island 33
SMC3_disc3; CpG Island 33
RAD21_disc8; CpG Island 33
THRB_3; CpG Island 33
THRB_3; CpG Island 33
TFAP2_known6; CpG Island 33
TFAP2B_1; CpG Island 33
TFAP2B_1; CpG Island 33
TFAP2_known11; CpG Island 33
TFAP2_known11; CpG Island 33
TFAP2B_2; CpG Island 33
TFAP2B_2; CpG Island 33
TFAP2_known14; CpG Island 33
TFAP2_known14; CpG Island 33
TFAP2_known17; CpG Island 33
TFAP2_known17; CpG Island 33
TFAP2_known20; CpG Island 33
TFAP2_known20; CpG Island 33
POU2F2_disc2; CpG Island 33
